country,year,value
Malaysia,1971,7
,1982,6
,1995,0
,1999,11
,2009,0
Malta,2004,10
Mexico,1953,4
Moldova,1992,11
,1994,36
,1997,217
,2000,6
,2001,42
,2002,60
,2003,10
,2005,18
,2006,3
,2007,19
,2008,29
,2009,20
,2011,11
Montenegro,2006,71
,2007,109
